"pais";"codigo";"cantHabitantes";"confirmados";"porCien"
"Peru";604;32971846;1745655;5,29438054514752
"Philippines";608;109581085;979740;0,89407765947928
"Poland";616;37846605;2742122;7,24535793897498
"Portugal";620;10196707;833397;8,17319748424663
"Qatar";634;2881060;200778;6,96889339340382
"Romania";642;19237682;1042521;5,41916120663602
"Russia";643;145934460;4691290;3,21465540078745
"Rwanda";646;12952209;24459;0,188840374641885
"Saint Kitts and Nevis";659;53192;44;0,0827192058956234
"Saint Lucia";662;183629;4455;2,42608738271188
"Saint Vincent and the Grenadines";670;110947;1827;1,6467322234941
"Samoa";882;198410;3;0,00151202056347966
"San Marino";674;33938;5047;14,8712357828982
"Sao Tome and Principe";678;219161;2292;1,04580650754468
"Saudi Arabia";682;34813867;410191;1,17824026845395
"Senegal";686;16743930;40022;0,239023932852084
"Serbia";688;8737370;675904;7,73578319334079
"Seychelles";690;98340;5206;5,2938783811267
"Sierra Leone";694;7976985;4044;0,0506958456108417
"Singapore";702;5850343;60943;1,04169960633077
"Slovakia";703;5459643;378635;6,93516041250316
"Slovenia";705;2078932;235711;11,3380812840439
"Solomon Islands";90;686878;20;0,00291172522631384
"Somalia";706;15893219;13459;0,0846839145675901
"South Africa";710;59308690;1572985;2,65219987155339
"South Korea";410;51269183;118243;0,230631722764141
"South Sudan";728;11193729;10515;0,0939365246380362
"Spain";724;46754783;3468617;7,41874259153336
"Sri Lanka";144;21413250;99518;0,464749629318296
"Sudan";729;43849269;33673;0,0767926142622811
"Suriname";740;586634;9932;1,69304881749097
"Sweden";752;10099270;938343;9,29119629438563
"Switzerland";756;8654618;646509;7,47010439975514
"Syria";760;17500657;21864;0,124932452535925
"Taiwan";158;23816775;1090;0,00457660619458344
"Tajikistan";762;9537642;13308;0,139531343281704
"Tanzania";834;59734213;509;0,000852107987092757
"Thailand";764;69799978;50183;0,0718954381332327
"Togo";768;8278737;12742;0,153912366101254
"Trinidad and Tobago";780;1399491;9383;0,670458045103541
"Tunisia";788;11818618;296343;2,50742514903181
"Turkey";792;84339067;4550820;5,3958623943516
"Uganda";800;45741000;41575;0,0908921973721606
"Ukraine";804;43733759;2058301;4,70643513629825
"United Arab Emirates";784;9890400;506845;5,12461578904797
"United Kingdom";826;67886004;4416588;6,50588890163575
"United States of America";840;331002647;31991750;9,66510397725007
"Uruguay";858;3473727;179537;5,16842572833156
"Uzbekistan";860;33469199;88280;0,263764902171695
"Vanuatu";548;307150;4;0,00130229529545825
"Vatican City";336;809;27;3,33745364647713
"Venezuela";862;28435943;189381;0,66599162897464
"Vietnam";704;97338583;2830;0,00290737743737239
"West Bank and Gaza";NA;2881957;289120;10,03207195666
"Yemen";887;29825968;6056;0,0203044541588726
"Zambia";894;18383956;91251;0,49636215404345
"Zimbabwe";716;14862927;38045;0,255972460875304
