"pais";"codigo";"cantHabitantes";"confirmados";"porCien"
"Qatar";634;2881060;199980;6,94119525452438
"Romania";642;19237682;1039998;5,40604632096528
"Russia";643;145934460;4682573;3,20868217143504
"Rwanda";646;12952209;24262;0,187319398567457
"Saint Kitts and Nevis";659;53192;44;0,0827192058956234
"Saint Lucia";662;183629;4455;2,42608738271188
"Saint Vincent and the Grenadines";670;110947;1827;1,6467322234941
"Samoa";882;198410;3;0,00151202056347966
"San Marino";674;33938;5045;14,8653426837174
"Sao Tome and Principe";678;219161;2292;1,04580650754468
"Saudi Arabia";682;34813867;409093;1,17508635280304
"Senegal";686;16743930;39975;0,238743234115288
"Serbia";688;8737370;673520;7,7084980949645
"Seychelles";690;98340;5170;5,2572706935123
"Sierra Leone";694;7976985;4044;0,0506958456108417
"Singapore";702;5850343;60904;1,04103297875013
"Slovakia";703;5459643;378150;6,92627704778499
"Slovenia";705;2078932;234811;11,2947898247754
"Solomon Islands";90;686878;20;0,00291172522631384
"Somalia";706;15893219;13459;0,0846839145675901
"South Africa";710;59308690;1571348;2,64943973640288
"South Korea";410;51269183;117458;0,229100588554337
"South Sudan";728;11193729;10504;0,0938382553302836
"Spain";724;46754783;3456886;7,39365211041617
"Sri Lanka";144;21413250;98722;0,461032304764573
"Sudan";729;43849269;33599;0,0766238543224061
"Suriname";740;586634;9865;1,68162772699844
"Sweden";752;10099270;932076;9,22914230434477
"Switzerland";756;8654618;644396;7,44568968844148
"Syria";760;17500657;21725;0,124138196640275
"Taiwan";158;23816775;1086;0,0045598113094657
"Tajikistan";762;9537642;13308;0,139531343281704
"Tanzania";834;59734213;509;0,000852107987092757
"Thailand";764;69799978;48113;0,0689298211526657
"Togo";768;8278737;12698;0,153380884064804
"Trinidad and Tobago";780;1399491;9383;0,670458045103541
"Tunisia";788;11818618;294138;2,48876814531107
"Turkey";792;84339067;4501382;5,33724424530331
"Uganda";800;45741000;41529;0,0907916311405522
"Ukraine";804;43733759;2043901;4,6735086275113
"United Arab Emirates";784;9890400;504872;5,10466715198576
"United Kingdom";826;67886004;4413834;6,50183210076704
"United States of America";840;331002647;31929351;9,64625246637378
"Uruguay";858;3473727;175891;5,06346641517886
"Uzbekistan";860;33469199;87935;0,262734103675442
"Vanuatu";548;307150;4;0,00130229529545825
"Vatican City";336;809;27;3,33745364647713
"Venezuela";862;28435943;188063;0,661356649927171
"Vietnam";704;97338583;2824;0,00290121338626842
"West Bank and Gaza";NA;2881957;287680;9,98210590928317
"Yemen";887;29825968;6020;0,0201837539690246
"Zambia";894;18383956;91189;0,496024903453859
"Zimbabwe";716;14862927;38018;0,255790800829473
